Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-08-28,1846.7181401316732,2127.054037332535,0.2475315,32.5912502,0.3274434,32.6221279,0.8061289953865008,3.6025407314300537,0.4388681948184967,4264,,,,,78077844,1918910,,,,
2019-08-29,1886.0821217123084,1481.6442728103364,0.2963079,32.5946901,0.3556227,32.614885,1.325109990267263,8.517622947692871,0.030231881886720657,4077,,,,,66213514,2530450,,7320000,5760000,
2019-08-30,2233.123315889985,7032.134674632433,0.2966167,32.5940611,0.330725,32.6255448,0.2578311254999838,4.276300430297852,0.0,5031,,,,,57122131,11146857,,4440000,,
2019-08-31,,,0.296378,32.5946714,0.3743135,32.6492763,,,,1162,,,,,,,,,,
2019-09-01,,,0.2962168,32.5823589,0.3567133,32.6150283,,,,510,,,,,,,,,,
2019-09-02,1405.0676219560185,,0.296378,32.5738682,0.3548777,32.6156758,3.286376373867253,12.892247200012207,1.005252480506897,613,,,,,,,,,,
2019-09-03,1717.0,,0.296378,32.608876,0.3529821,32.6227883,,,,371,,,,,,,,,,
2019-09-04,1809.3192128465623,1128.3976033465697,0.296378,32.5922147,0.3545237,32.6150055,0.6625767044445963,4.334475994110107,0.4199373722076416,2762,,,,,48843805,1384454,,6600000,8400000,
2019-09-05,2633.283736610724,10967.97505073477,0.2963751,32.5867786,0.3690643,32.64101,0.5109623335091966,8.327816009521484,0.0,6356,,,,,,5340000,2520000,16380000,8820000,180000
2019-09-06,621.8791572782728,3172.347058652883,0.2963751,32.5850006,0.4495217,33.1993433,4.369202086331304,17.787771224975586,0.0,12265,,,,,,3300000,,,,
2019-09-07,,,0.4319414,33.1760633,0.4582563,33.23238,,,,11929,,,,,,,,,,
2019-09-08,,,0.2963751,32.5864487,0.5583083,33.21379,16.567350566907503,35.50553894042969,3.7996795177459717,7801,,,,,,,,,,
2019-09-09,233.70277777777775,,0.3527834,32.6141892,0.3684933,32.64109,8.486226675330885,12.279727935791016,4.796181678771973,3727,,,,,,,,,,
2019-09-10,1717.0,,0.35281,32.6145561,0.369082,32.6412183,1.2751101389044825,2.401693820953369,0.5589883327484131,2369,,,,,,,,,,
2019-09-11,1716.9999904746683,21.43487394957983,0.3527446,32.609828,0.3642755,32.636161,8.287176392143426,12.322964668273926,2.762514114379883,4832,,,,,,,,5820000,5940000,
2019-09-12,1749.0077734727126,590.0085222768353,0.3038892,32.5629944,0.379737,32.6417683,0.30223888598995424,1.628581166267395,0.001995798433199525,6891,,,,,,480000,,12060000,6420000,
2019-09-13,514.2401106357574,794.5566037735849,0.34995,32.5937797,0.3687083,32.6411733,0.32312469281230216,3.1665711402893066,7.861634949222207E-4,4342,,,,,,2100000,,11580000,840000,1980000
2019-09-14,951.9185717708333,,0.2963887,32.5926654,0.3688461,32.6409033,2.2453012701444512,11.350139617919922,0.5111191868782043,5594,,,,,,,,,,
2019-09-15,1717.0,,0.2963887,32.594015,0.3686929,32.6407224,,,,4752,,,,,,,,,,
2019-09-16,1219.1368963115947,,0.3261664,32.6025055,0.3757911,32.6435443,1.2745660366714155,1.9317524433135986,0.5409730672836304,4592,,,,,44666821,1498666,,,,
